dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,std_if_available,notes
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_knn_positive,40,"[42, 43, 44]",2910,7128,spearman_x100,51.1916,0.745,variant=full
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_knn_positive,80,"[42, 43, 44]",2910,7128,spearman_x100,54.0966,0.3833,variant=full
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_knn_positive,160,"[42, 43, 44]",2910,7128,spearman_x100,55.5282,0.2896,variant=full
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_noise_positive,40,"[42, 43, 44]",2910,7128,spearman_x100,51.3273,0.3089,variant=noise sigma=0.05
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_noise_positive,80,"[42, 43, 44]",2910,7128,spearman_x100,53.934,0.5009,variant=noise sigma=0.05
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_noise_positive,160,"[42, 43, 44]",2910,7128,spearman_x100,55.6701,0.1283,variant=noise sigma=0.05
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_random_positive,40,"[42, 43, 44]",2910,7128,spearman_x100,51.5325,0.1804,variant=random_pairs
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_random_positive,80,"[42, 43, 44]",2910,7128,spearman_x100,53.9322,0.4421,variant=random_pairs
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_random_positive,160,"[42, 43, 44]",2910,7128,spearman_x100,55.7466,0.0847,variant=random_pairs
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_dropout_positive,40,"[42, 43, 44]",2910,7128,spearman_x100,,,not_applicable: frozen decoder-only inference dropout~0
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_dropout_positive,80,"[42, 43, 44]",2910,7128,spearman_x100,,,not_applicable: frozen decoder-only inference dropout~0
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_dropout_positive,160,"[42, 43, 44]",2910,7128,spearman_x100,,,not_applicable: frozen decoder-only inference dropout~0
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_knn_positive,40,"[42, 43, 44]",2000,10000,ndcg@10,44.4123,0.0207,variant=full
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_knn_positive,80,"[42, 43, 44]",2000,10000,ndcg@10,56.8089,0.1991,variant=full
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_knn_positive,160,"[42, 43, 44]",2000,10000,ndcg@10,62.745,0.092,variant=full
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_noise_positive,40,"[42, 43, 44]",2000,10000,ndcg@10,44.3561,0.2416,variant=noise sigma=0.05
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_noise_positive,80,"[42, 43, 44]",2000,10000,ndcg@10,56.8861,0.2047,variant=noise sigma=0.05
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_noise_positive,160,"[42, 43, 44]",2000,10000,ndcg@10,62.1534,0.1421,variant=noise sigma=0.05
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_random_positive,40,"[42, 43, 44]",2000,10000,ndcg@10,44.7468,0.2178,variant=random_pairs
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_random_positive,80,"[42, 43, 44]",2000,10000,ndcg@10,57.2984,0.2012,variant=random_pairs
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_random_positive,160,"[42, 43, 44]",2000,10000,ndcg@10,62.2318,0.0853,variant=random_pairs
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_dropout_positive,40,"[42, 43, 44]",2000,10000,ndcg@10,,,not_applicable: frozen decoder-only inference dropout~0
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_dropout_positive,80,"[42, 43, 44]",2000,10000,ndcg@10,,,not_applicable: frozen decoder-only inference dropout~0
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_dropout_positive,160,"[42, 43, 44]",2000,10000,ndcg@10,,,not_applicable: frozen decoder-only inference dropout~0
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_knn_positive,40,"[42, 43, 44]",2910,7128,spearman_x100,58.4483,0.1985,variant=full
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_knn_positive,80,"[42, 43, 44]",2910,7128,spearman_x100,60.5215,0.3346,variant=full
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_knn_positive,160,"[42, 43, 44]",2910,7128,spearman_x100,62.1965,0.3456,variant=full
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_noise_positive,40,"[42, 43, 44]",2910,7128,spearman_x100,58.8014,0.5687,variant=noise sigma=0.05
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_noise_positive,80,"[42, 43, 44]",2910,7128,spearman_x100,60.7952,0.1287,variant=noise sigma=0.05
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_noise_positive,160,"[42, 43, 44]",2910,7128,spearman_x100,62.3619,0.1836,variant=noise sigma=0.05
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_random_positive,40,"[42, 43, 44]",2910,7128,spearman_x100,58.6754,0.1078,variant=random_pairs
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_random_positive,80,"[42, 43, 44]",2910,7128,spearman_x100,60.8906,0.1898,variant=random_pairs
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_random_positive,160,"[42, 43, 44]",2910,7128,spearman_x100,62.046,0.0882,variant=random_pairs
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_dropout_positive,40,"[42, 43, 44]",2910,7128,spearman_x100,,,not_applicable: frozen decoder-only inference dropout~0
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_dropout_positive,80,"[42, 43, 44]",2910,7128,spearman_x100,,,not_applicable: frozen decoder-only inference dropout~0
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_dropout_positive,160,"[42, 43, 44]",2910,7128,spearman_x100,,,not_applicable: frozen decoder-only inference dropout~0
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_knn_positive,40,"[42, 43, 44]",1000,10000,ndcg@10,49.0046,0.6075,variant=full
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_knn_positive,80,"[42, 43, 44]",1000,10000,ndcg@10,59.8056,0.0875,variant=full
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_knn_positive,160,"[42, 43, 44]",1000,10000,ndcg@10,64.8264,0.4156,variant=full
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_noise_positive,40,"[42, 43, 44]",1000,10000,ndcg@10,48.75,0.1886,variant=noise sigma=0.05
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_noise_positive,80,"[42, 43, 44]",1000,10000,ndcg@10,60.9964,0.1406,variant=noise sigma=0.05
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_noise_positive,160,"[42, 43, 44]",1000,10000,ndcg@10,65.6792,0.0476,variant=noise sigma=0.05
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_random_positive,40,"[42, 43, 44]",1000,10000,ndcg@10,49.8401,0.3557,variant=random_pairs
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_random_positive,80,"[42, 43, 44]",1000,10000,ndcg@10,59.9893,0.1293,variant=random_pairs
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_random_positive,160,"[42, 43, 44]",1000,10000,ndcg@10,64.203,0.2952,variant=random_pairs
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_dropout_positive,40,"[42, 43, 44]",1000,10000,ndcg@10,,,not_applicable: frozen decoder-only inference dropout~0
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_dropout_positive,80,"[42, 43, 44]",1000,10000,ndcg@10,,,not_applicable: frozen decoder-only inference dropout~0
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_dropout_positive,160,"[42, 43, 44]",1000,10000,ndcg@10,,,not_applicable: frozen decoder-only inference dropout~0
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_knn_positive,40,"[42, 43, 44]",2910,7128,spearman_x100,54.2826,0.6664,variant=full
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_knn_positive,80,"[42, 43, 44]",2910,7128,spearman_x100,56.2108,0.3805,variant=full
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_knn_positive,160,"[42, 43, 44]",2910,7128,spearman_x100,57.5759,0.2043,variant=full
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_noise_positive,40,"[42, 43, 44]",2910,7128,spearman_x100,54.4388,0.4505,variant=noise sigma=0.05
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_noise_positive,80,"[42, 43, 44]",2910,7128,spearman_x100,56.4359,0.0848,variant=noise sigma=0.05
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_noise_positive,160,"[42, 43, 44]",2910,7128,spearman_x100,57.8377,0.2536,variant=noise sigma=0.05
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_random_positive,40,"[42, 43, 44]",2910,7128,spearman_x100,54.2197,0.514,variant=random_pairs
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_random_positive,80,"[42, 43, 44]",2910,7128,spearman_x100,56.1815,0.179,variant=random_pairs
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_random_positive,160,"[42, 43, 44]",2910,7128,spearman_x100,57.7175,0.1221,variant=random_pairs
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_dropout_positive,40,"[42, 43, 44]",2910,7128,spearman_x100,,,not_applicable: frozen decoder-only inference dropout~0
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_dropout_positive,80,"[42, 43, 44]",2910,7128,spearman_x100,,,not_applicable: frozen decoder-only inference dropout~0
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_dropout_positive,160,"[42, 43, 44]",2910,7128,spearman_x100,,,not_applicable: frozen decoder-only inference dropout~0
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_knn_positive,40,"[42, 43, 44]",1000,10000,ndcg@10,46.4709,0.2715,variant=full
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_knn_positive,80,"[42, 43, 44]",1000,10000,ndcg@10,57.4649,0.3517,variant=full
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_knn_positive,160,"[42, 43, 44]",1000,10000,ndcg@10,62.6278,0.2436,variant=full
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_noise_positive,40,"[42, 43, 44]",1000,10000,ndcg@10,45.6245,0.0631,variant=noise sigma=0.05
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_noise_positive,80,"[42, 43, 44]",1000,10000,ndcg@10,57.2712,0.2218,variant=noise sigma=0.05
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_noise_positive,160,"[42, 43, 44]",1000,10000,ndcg@10,61.8781,0.0268,variant=noise sigma=0.05
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_random_positive,40,"[42, 43, 44]",1000,10000,ndcg@10,46.372,0.527,variant=random_pairs
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_random_positive,80,"[42, 43, 44]",1000,10000,ndcg@10,57.2608,0.0775,variant=random_pairs
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_random_positive,160,"[42, 43, 44]",1000,10000,ndcg@10,61.4628,0.2006,variant=random_pairs
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_dropout_positive,40,"[42, 43, 44]",1000,10000,ndcg@10,,,not_applicable: frozen decoder-only inference dropout~0
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_dropout_positive,80,"[42, 43, 44]",1000,10000,ndcg@10,,,not_applicable: frozen decoder-only inference dropout~0
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_dropout_positive,160,"[42, 43, 44]",1000,10000,ndcg@10,,,not_applicable: frozen decoder-only inference dropout~0
