dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_mode,fit_size,eval_size,metric_name,metric_value,recall_at_10,notes,std_if_available
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,2560,42,corpus_sample,1000,10000,ndcg@10,43.7067,52.7668,full dim,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,5,42,corpus_sample,1000,10000,ndcg@10,1.7007,2.6307,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,5,42,corpus_sample,1000,10000,ndcg@10,1.6895,2.5945,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,5,42,corpus_sample,1000,10000,ndcg@10,0.8753,1.4295,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,5,42,corpus_sample,1000,10000,ndcg@10,1.0175,1.6443,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,5,42,corpus_sample,1000,10000,ndcg@10,1.0697,1.7656,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,5,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,0.5266,0.9218,ncwp_ref BEIR protocol k=10 tau=0,0.0353
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,10,42,corpus_sample,1000,10000,ndcg@10,11.8833,15.6738,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,10,42,corpus_sample,1000,10000,ndcg@10,11.4547,15.1942,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,10,42,corpus_sample,1000,10000,ndcg@10,8.6876,11.617,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,10,42,corpus_sample,1000,10000,ndcg@10,9.47,12.4766,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,10,42,corpus_sample,1000,10000,ndcg@10,6.4533,8.4791,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,10,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,7.8846,10.6425,ncwp_ref BEIR protocol k=10 tau=0,0.1816
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,20,42,corpus_sample,1000,10000,ndcg@10,22.8812,28.9286,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,20,42,corpus_sample,1000,10000,ndcg@10,21.5311,27.2579,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,20,42,corpus_sample,1000,10000,ndcg@10,21.6515,26.7648,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,20,42,corpus_sample,1000,10000,ndcg@10,24.4186,30.1104,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,20,42,corpus_sample,1000,10000,ndcg@10,13.1568,16.4601,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,20,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,25.4805,31.1923,ncwp_ref BEIR protocol k=10 tau=0,0.243
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,40,42,corpus_sample,1000,10000,ndcg@10,33.1318,41.257,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,40,42,corpus_sample,1000,10000,ndcg@10,30.3014,37.6886,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,40,42,corpus_sample,1000,10000,ndcg@10,33.7225,40.8431,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,40,42,corpus_sample,1000,10000,ndcg@10,35.1247,42.6256,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,40,42,corpus_sample,1000,10000,ndcg@10,19.2233,23.4054,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,40,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,45.2288,54.137,ncwp_ref BEIR protocol k=10 tau=0,0.1881
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,80,42,corpus_sample,1000,10000,ndcg@10,41.0649,50.7131,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,80,42,corpus_sample,1000,10000,ndcg@10,36.519,45.3376,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,80,42,corpus_sample,1000,10000,ndcg@10,41.7688,50.7649,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,80,42,corpus_sample,1000,10000,ndcg@10,41.01,49.7122,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,80,42,corpus_sample,1000,10000,ndcg@10,24.4363,29.645,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,80,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,56.5132,67.52,ncwp_ref BEIR protocol k=10 tau=0,0.1082
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,160,42,corpus_sample,1000,10000,ndcg@10,48.3592,59.1728,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,160,42,corpus_sample,1000,10000,ndcg@10,42.4586,52.1135,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,160,42,corpus_sample,1000,10000,ndcg@10,49.1308,59.8106,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,160,42,corpus_sample,1000,10000,ndcg@10,42.3605,51.3023,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,160,42,corpus_sample,1000,10000,ndcg@10,29.6119,35.667,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,160,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,61.5738,73.2774,ncwp_ref BEIR protocol k=10 tau=0,0.1105
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,320,42,corpus_sample,1000,10000,ndcg@10,55.2951,66.8925,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,320,42,corpus_sample,1000,10000,ndcg@10,48.4777,59.1492,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,320,42,corpus_sample,1000,10000,ndcg@10,55.448,67.1247,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,320,42,corpus_sample,1000,10000,ndcg@10,43.6264,52.5327,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,320,42,corpus_sample,1000,10000,ndcg@10,34.5694,41.6247,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,320,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,64.25,76.4645,ncwp_ref BEIR protocol k=10 tau=0,0.0881
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,640,42,corpus_sample,1000,10000,ndcg@10,60.8806,73.0549,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,640,42,corpus_sample,1000,10000,ndcg@10,54.3925,65.815,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,640,42,corpus_sample,1000,10000,ndcg@10,60.6427,72.9098,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,640,42,corpus_sample,1000,10000,ndcg@10,44.3643,53.5764,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,640,42,corpus_sample,1000,10000,ndcg@10,39.7241,48.1004,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,640,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,65.4542,77.938,ncwp_ref BEIR protocol k=10 tau=0,0.0324
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,1280,42,corpus_sample,1000,10000,ndcg@10,65.0066,77.4694,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,1280,42,corpus_sample,1000,10000,ndcg@10,59.9675,71.9456,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,1280,42,corpus_sample,1000,10000,ndcg@10,63.6906,76.2487,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,1280,42,corpus_sample,1000,10000,ndcg@10,44.8272,54.2053,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,1280,42,corpus_sample,1000,10000,ndcg@10,44.7296,54.1538,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,1280,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,65.9882,78.4403,ncwp_ref BEIR protocol k=10 tau=0,0.0515
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Base_mean_pool,3584,42,corpus_sample,1000,10000,ndcg@10,39.6719,48.6439,full dim,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,PCA_whitening,7,42,corpus_sample,1000,10000,ndcg@10,5.4835,7.7841,,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Soft_whitening,7,42,corpus_sample,1000,10000,ndcg@10,5.4444,7.7144,,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ZCA_only,7,42,corpus_sample,1000,10000,ndcg@10,2.3754,3.7864,,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Random,7,42,corpus_sample,1000,10000,ndcg@10,3.3453,5.0791,,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LPP,7,42,corpus_sample,1000,10000,ndcg@10,2.5895,3.7818,,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP,7,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,2.3331,3.6099,ncwp_ref BEIR protocol k=10 tau=0,0.1244
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,PCA_whitening,14,42,corpus_sample,1000,10000,ndcg@10,16.5167,21.3511,,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Soft_whitening,14,42,corpus_sample,1000,10000,ndcg@10,16.0983,20.9357,,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ZCA_only,14,42,corpus_sample,1000,10000,ndcg@10,12.8644,16.6322,,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Random,14,42,corpus_sample,1000,10000,ndcg@10,16.8404,21.858,,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LPP,14,42,corpus_sample,1000,10000,ndcg@10,10.0525,13.0069,,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP,14,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,15.43,19.6934,ncwp_ref BEIR protocol k=10 tau=0,0.2462
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,PCA_whitening,28,42,corpus_sample,1000,10000,ndcg@10,27.9851,35.214,,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Soft_whitening,28,42,corpus_sample,1000,10000,ndcg@10,26.1544,32.9906,,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ZCA_only,28,42,corpus_sample,1000,10000,ndcg@10,25.0191,30.8356,,
