dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_mode,fit_size,eval_size,metric_name,metric_value,recall_at_10,notes,std_if_available
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,2560,42,corpus_sample,2000,10000,ndcg@10,43.7067,52.7668,full dim,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,5,42,corpus_sample,2000,10000,ndcg@10,1.725,2.6401,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,5,42,corpus_sample,2000,10000,ndcg@10,1.7105,2.5963,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,5,42,corpus_sample,2000,10000,ndcg@10,0.8589,1.4516,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,5,42,corpus_sample,2000,10000,ndcg@10,1.0002,1.6628,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,5,42,corpus_sample,2000,10000,ndcg@10,1.2443,2.0163,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,5,"[42, 43, 44]",corpus_sample,2000,10000,ndcg@10,0.4979,0.8574,ncwp_ref BEIR protocol k=10 tau=0,0.0327
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,10,42,corpus_sample,2000,10000,ndcg@10,11.9916,15.7817,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,10,42,corpus_sample,2000,10000,ndcg@10,11.5625,15.1935,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,10,42,corpus_sample,2000,10000,ndcg@10,7.7186,10.2175,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,10,42,corpus_sample,2000,10000,ndcg@10,9.5046,12.568,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,10,42,corpus_sample,2000,10000,ndcg@10,8.0957,10.5895,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,10,"[42, 43, 44]",corpus_sample,2000,10000,ndcg@10,7.1386,9.7598,ncwp_ref BEIR protocol k=10 tau=0,0.0522
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,20,42,corpus_sample,2000,10000,ndcg@10,23.0956,29.1737,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,20,42,corpus_sample,2000,10000,ndcg@10,21.6752,27.5253,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,20,42,corpus_sample,2000,10000,ndcg@10,20.9961,25.7571,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,20,42,corpus_sample,2000,10000,ndcg@10,24.4232,30.1413,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,20,42,corpus_sample,2000,10000,ndcg@10,14.7107,18.4402,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,20,"[42, 43, 44]",corpus_sample,2000,10000,ndcg@10,25.0333,30.4581,ncwp_ref BEIR protocol k=10 tau=0,0.2604
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,40,42,corpus_sample,2000,10000,ndcg@10,33.1358,41.1583,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,40,42,corpus_sample,2000,10000,ndcg@10,30.471,37.8518,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,40,42,corpus_sample,2000,10000,ndcg@10,32.9254,39.6651,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,40,42,corpus_sample,2000,10000,ndcg@10,35.1431,42.6609,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,40,42,corpus_sample,2000,10000,ndcg@10,19.4475,23.9127,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,40,"[42, 43, 44]",corpus_sample,2000,10000,ndcg@10,44.9677,53.4441,ncwp_ref BEIR protocol k=10 tau=0,0.1828
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,80,42,corpus_sample,2000,10000,ndcg@10,41.4256,51.0193,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,80,42,corpus_sample,2000,10000,ndcg@10,37.0745,46.0387,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,80,42,corpus_sample,2000,10000,ndcg@10,41.8484,50.575,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,80,42,corpus_sample,2000,10000,ndcg@10,40.9761,49.6648,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,80,42,corpus_sample,2000,10000,ndcg@10,24.326,29.5647,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,80,"[42, 43, 44]",corpus_sample,2000,10000,ndcg@10,57.2753,68.1137,ncwp_ref BEIR protocol k=10 tau=0,0.3406
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,160,42,corpus_sample,2000,10000,ndcg@10,49.3271,60.3895,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,160,42,corpus_sample,2000,10000,ndcg@10,43.419,53.1223,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,160,42,corpus_sample,2000,10000,ndcg@10,49.8875,60.7116,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,160,42,corpus_sample,2000,10000,ndcg@10,42.353,51.31,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,160,42,corpus_sample,2000,10000,ndcg@10,28.8696,34.8996,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,160,"[42, 43, 44]",corpus_sample,2000,10000,ndcg@10,62.4628,74.4586,ncwp_ref BEIR protocol k=10 tau=0,0.134
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,320,42,corpus_sample,2000,10000,ndcg@10,56.2617,68.0957,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Soft_whitening,320,42,corpus_sample,2000,10000,ndcg@10,49.6859,60.604,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_only,320,42,corpus_sample,2000,10000,ndcg@10,56.7237,68.6085,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Random,320,42,corpus_sample,2000,10000,ndcg@10,43.6155,52.5305,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,LPP,320,42,corpus_sample,2000,10000,ndcg@10,33.7568,40.9842,,
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP,320,"[42, 43, 44]",corpus_sample,2000,10000,ndcg@10,64.8649,77.1297,ncwp_ref BEIR protocol k=10 tau=0,0.0952
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,640,42,corpus_sample,2000,10000,ndcg@10,61.6396,73.9334,,
