s1,s2,gold,base_cos,ncwp_cos,base_norm,ncwp_norm,gold_norm,base_err,ncwp_err,improvement,type
Russian opposition leader under house arrest,Russian Opposition Leader Placed Under House Arrest,5.0,0.6610170602798462,0.7561706304550171,0.3832239130250693,0.8196353591714682,1.0,0.6167760869749307,0.18036464082853176,0.43641144614639893,"A: gold high, base low"
A man running on a track.,a man running track,5.0,0.6543493866920471,0.48921337723731995,0.3709214829693303,0.5960128554494398,1.0,0.6290785170306696,0.4039871445505602,0.22509137248010946,"A: gold high, base low"
Train in a station.,a train in a station.,5.0,0.5620556473731995,0.25990408658981323,0.20063161235682403,0.4039269799647186,1.0,0.799368387643176,0.5960730200352814,0.20329536760789457,"A: gold high, base low"
South Korean soldier reportedly flees after killing 5 comrades at border with North Korea,South Korean Soldier Kills Comrades And Flees,4.0,0.7092704772949219,0.5772168636322021,0.47225560900740454,0.6697308748202895,0.8,0.3277443909925955,0.13026912517971057,0.19747526581288494,"A: gold high, base low"
2 French Journalists Killed in Mali,Two French journalists killed in Mali,5.0,0.7219589948654175,0.5496033430099487,0.49566701298010024,0.6465998134098973,1.0,0.5043329870198998,0.35340018659010275,0.15093280042979706,"A: gold high, base low"
A red haired women in black is posing for a man while resting on a tree.,A man in a black shirt is holding a child wearing sunglasses.,0.0,0.9183385968208313,-0.004670749418437481,0.8580042338439394,0.1823001594274149,0.0,0.8580042338439394,0.1823001594274149,0.6757040744165246,"B: gold low, base high"
"They can be out of level by a bit, but flat is important.","Yes, although they can be a bit sour.",0.0,0.895865797996521,-0.018775267526507378,0.8165399911733515,0.17048520547841242,0.0,0.8165399911733515,0.17048520547841242,0.6460547856949391,"B: gold low, base high"
A man is cutting paper with a sword.,A woman is cutting a tomato.,0.6,0.8940311074256897,-0.1382962465286255,0.813154829598724,0.07036587832169365,0.12,0.693154829598724,0.049634121678306345,0.6435207079204176,"B: gold low, base high"
Two men standing in grass staring at a car.,Two women sitting in chairs in a shop.,0.4,0.8651331067085266,-0.08342934399843216,0.7598355379609122,0.11632632317714349,0.08,0.6798355379609122,0.03632632317714349,0.6435092147837688,"B: gold low, base high"
A woman is cutting an onion.,A woman is cleaning a garden.,0.267,0.8868125677108765,-0.03534248471260071,0.7998360042578186,0.15660731850510126,0.0534,0.7464360042578186,0.10320731850510126,0.6432286857527174,"B: gold low, base high"
