dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,metric_name,metric_value,notes,fit_size,eval_size,std_if_available
cqa-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,2560,"[42, 43, 44]",ndcg@10_avg,5.7523,avg over 3 subforums,,,
cqa-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_full,2560,"[42, 43, 44]",ndcg@10_avg,9.2952,avg over 3 subforums,,,
cqa-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_shrink_full,2560,"[42, 43, 44]",ndcg@10_avg,23.5038,avg over 3 subforums,,,
cqa-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,40,"[42, 43, 44]",ndcg@10_avg,3.0995,avg over 3 subforums,,,
cqa-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,40,"[42, 43, 44]",ndcg@10_avg,2.8192,avg over 3 subforums,,,
cqa-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,40,"[42, 43, 44]",ndcg@10_avg,2.9486,avg over 3 subforums,,,
cqa-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,80,"[42, 43, 44]",ndcg@10_avg,6.2746,avg over 3 subforums,,,
cqa-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,80,"[42, 43, 44]",ndcg@10_avg,4.1008,avg over 3 subforums,,,
cqa-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,80,"[42, 43, 44]",ndcg@10_avg,6.8885,avg over 3 subforums,,,
cqa-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,160,"[42, 43, 44]",ndcg@10_avg,10.8195,avg over 3 subforums,,,
cqa-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,160,"[42, 43, 44]",ndcg@10_avg,5.4595,avg over 3 subforums,,,
cqa-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,160,"[42, 43, 44]",ndcg@10_avg,12.9515,avg over 3 subforums,,,
cqa-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,320,"[42, 43, 44]",ndcg@10_avg,15.3488,avg over 3 subforums,,,
cqa-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,320,"[42, 43, 44]",ndcg@10_avg,6.5145,avg over 3 subforums,,,
cqa-avg,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,320,"[42, 43, 44]",ndcg@10_avg,17.6609,avg over 3 subforums,,,
cqa-english,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,2560,"[42, 43, 44]",ndcg@10,3.7517,full dim,1000.0,1570.0,
cqa-english,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_full,2560,"[42, 43, 44]",ndcg@10,8.2508,m=5,1000.0,1570.0,
cqa-english,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ZCA_shrink_full,2560,"[42, 43, 44]",ndcg@10,25.1653,full-dim ZCA-only rank_deficient_n<D,1000.0,1570.0,
cqa-english,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,40,"[42, 43, 44]",ndcg@10,2.0845,,1000.0,1570.0,
cqa-english,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,40,"[42, 43, 44]",ndcg@10,1.9652,m=5,1000.0,1570.0,
cqa-english,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,40,"[42, 43, 44]",ndcg@10,3.7321,ncwp_ref,1000.0,1570.0,0.3743
cqa-english,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,80,"[42, 43, 44]",ndcg@10,5.4125,,1000.0,1570.0,
cqa-english,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,80,"[42, 43, 44]",ndcg@10,2.9853,m=5,1000.0,1570.0,
cqa-english,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,80,"[42, 43, 44]",ndcg@10,7.8546,ncwp_ref,1000.0,1570.0,0.481
cqa-english,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,160,"[42, 43, 44]",ndcg@10,10.195,,1000.0,1570.0,
cqa-english,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,160,"[42, 43, 44]",ndcg@10,4.1925,m=5,1000.0,1570.0,
cqa-english,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,160,"[42, 43, 44]",ndcg@10,14.3062,ncwp_ref,1000.0,1570.0,0.547
cqa-english,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,PCA_whitening,320,"[42, 43, 44]",ndcg@10,15.7744,,1000.0,1570.0,
cqa-english,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_PCA_r,320,"[42, 43, 44]",ndcg@10,5.2939,m=5,1000.0,1570.0,
cqa-english,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,320,"[42, 43, 44]",ndcg@10,19.1673,ncwp_ref,1000.0,1570.0,0.4501
cqa-gaming,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,2560,"[42, 43, 44]",ndcg@10,6.3328,full dim,1000.0,1595.0,
cqa-gaming,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,ABTT_full,2560,"[42, 43, 44]",ndcg@10,8.9643,m=5,1000.0,1595.0,
