dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,notes,std_if_available
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,2560,"[0, 1, 2]",2910,7128,spearman_x100,36.4767,paper Base (cached),
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,40,"[0, 1, 2]",2910,7128,spearman_x100,51.075,ncwp_ref; new-seed reverify vs Table 1,0.4148
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,80,"[0, 1, 2]",2910,7128,spearman_x100,54.2951,ncwp_ref; new-seed reverify vs Table 1,0.616
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,160,"[0, 1, 2]",2910,7128,spearman_x100,55.7604,ncwp_ref; new-seed reverify vs Table 1,0.3071
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,320,"[0, 1, 2]",2910,7128,spearman_x100,56.8263,ncwp_ref; new-seed reverify vs Table 1,0.043
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_A,PromptEOL_A,2560,"[0, 1, 2]",2910,7128,spearman_x100,58.2278,template=PromptEOL_A pool=last,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_A,NCWP_on_PromptEOL,40,"[0, 1, 2]",2910,7128,spearman_x100,67.5986,ncwp_ref; template=PromptEOL_A pool=last,0.3682
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_A,NCWP_on_PromptEOL,80,"[0, 1, 2]",2910,7128,spearman_x100,70.2963,ncwp_ref; template=PromptEOL_A pool=last,0.1655
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_A,NCWP_on_PromptEOL,160,"[0, 1, 2]",2910,7128,spearman_x100,71.9557,ncwp_ref; template=PromptEOL_A pool=last,0.3556
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_A,NCWP_on_PromptEOL,320,"[0, 1, 2]",2910,7128,spearman_x100,72.4205,ncwp_ref; template=PromptEOL_A pool=last,0.1305
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_B,PromptEOL_B,2560,"[0, 1, 2]",2910,7128,spearman_x100,47.9744,template=PromptEOL_B pool=last,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_B,NCWP_on_PromptEOL,40,"[0, 1, 2]",2910,7128,spearman_x100,65.4248,ncwp_ref; template=PromptEOL_B pool=last,0.1045
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_B,NCWP_on_PromptEOL,80,"[0, 1, 2]",2910,7128,spearman_x100,68.3497,ncwp_ref; template=PromptEOL_B pool=last,0.4852
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_B,NCWP_on_PromptEOL,160,"[0, 1, 2]",2910,7128,spearman_x100,69.9744,ncwp_ref; template=PromptEOL_B pool=last,0.0971
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_B,NCWP_on_PromptEOL,320,"[0, 1, 2]",2910,7128,spearman_x100,70.4293,ncwp_ref; template=PromptEOL_B pool=last,0.163
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,Echo_mean,2560,"[0, 1, 2]",2910,7128,spearman_x100,44.6503,template=Echo pool=mean,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,NCWP_on_Echo,40,"[0, 1, 2]",2910,7128,spearman_x100,58.3563,ncwp_ref; template=Echo pool=mean,0.7671
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,NCWP_on_Echo,80,"[0, 1, 2]",2910,7128,spearman_x100,60.2584,ncwp_ref; template=Echo pool=mean,0.591
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,NCWP_on_Echo,160,"[0, 1, 2]",2910,7128,spearman_x100,62.1849,ncwp_ref; template=Echo pool=mean,0.3084
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_mean,NCWP_on_Echo,320,"[0, 1, 2]",2910,7128,spearman_x100,62.787,ncwp_ref; template=Echo pool=mean,0.1857
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_last,Echo_last,2560,"[0, 1, 2]",2910,7128,spearman_x100,27.0011,template=Echo pool=last,
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_last,NCWP_on_Echo,40,"[0, 1, 2]",2910,7128,spearman_x100,44.1411,ncwp_ref; template=Echo pool=last,0.7771
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_last,NCWP_on_Echo,80,"[0, 1, 2]",2910,7128,spearman_x100,47.429,ncwp_ref; template=Echo pool=last,0.9498
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_last,NCWP_on_Echo,160,"[0, 1, 2]",2910,7128,spearman_x100,50.2239,ncwp_ref; template=Echo pool=last,0.144
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,Echo_last,NCWP_on_Echo,320,"[0, 1, 2]",2910,7128,spearman_x100,51.8,ncwp_ref; template=Echo pool=last,0.1086
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Base_mean_pool,4096,"[0, 1, 2]",2910,7128,spearman_x100,46.354,paper Base (cached),
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,32,"[0, 1, 2]",2910,7128,spearman_x100,57.3213,ncwp_ref; new-seed reverify vs Table 1,0.3737
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,64,"[0, 1, 2]",2910,7128,spearman_x100,60.101,ncwp_ref; new-seed reverify vs Table 1,0.064
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,128,"[0, 1, 2]",2910,7128,spearman_x100,61.7956,ncwp_ref; new-seed reverify vs Table 1,0.2057
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,256,"[0, 1, 2]",2910,7128,spearman_x100,62.7093,ncwp_ref; new-seed reverify vs Table 1,0.1812
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,PromptEOL_A,PromptEOL_A,4096,"[0, 1, 2]",2910,7128,spearman_x100,69.3061,template=PromptEOL_A pool=last,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,PromptEOL_A,NCWP_on_PromptEOL,32,"[0, 1, 2]",2910,7128,spearman_x100,71.5248,ncwp_ref; template=PromptEOL_A pool=last,0.2413
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,PromptEOL_A,NCWP_on_PromptEOL,64,"[0, 1, 2]",2910,7128,spearman_x100,74.3739,ncwp_ref; template=PromptEOL_A pool=last,0.3776
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,PromptEOL_A,NCWP_on_PromptEOL,128,"[0, 1, 2]",2910,7128,spearman_x100,75.6998,ncwp_ref; template=PromptEOL_A pool=last,0.1503
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,PromptEOL_A,NCWP_on_PromptEOL,256,"[0, 1, 2]",2910,7128,spearman_x100,76.5712,ncwp_ref; template=PromptEOL_A pool=last,0.2791
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,PromptEOL_B,PromptEOL_B,4096,"[0, 1, 2]",2910,7128,spearman_x100,53.7952,template=PromptEOL_B pool=last,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,PromptEOL_B,NCWP_on_PromptEOL,32,"[0, 1, 2]",2910,7128,spearman_x100,64.2078,ncwp_ref; template=PromptEOL_B pool=last,0.2755
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,PromptEOL_B,NCWP_on_PromptEOL,64,"[0, 1, 2]",2910,7128,spearman_x100,66.7498,ncwp_ref; template=PromptEOL_B pool=last,0.4501
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,PromptEOL_B,NCWP_on_PromptEOL,128,"[0, 1, 2]",2910,7128,spearman_x100,68.2393,ncwp_ref; template=PromptEOL_B pool=last,0.2302
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,PromptEOL_B,NCWP_on_PromptEOL,256,"[0, 1, 2]",2910,7128,spearman_x100,69.3308,ncwp_ref; template=PromptEOL_B pool=last,0.2602
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,Echo_mean,Echo_mean,4096,"[0, 1, 2]",2910,7128,spearman_x100,55.7403,template=Echo pool=mean,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,Echo_mean,NCWP_on_Echo,32,"[0, 1, 2]",2910,7128,spearman_x100,62.652,ncwp_ref; template=Echo pool=mean,0.5489
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,Echo_mean,NCWP_on_Echo,64,"[0, 1, 2]",2910,7128,spearman_x100,65.3313,ncwp_ref; template=Echo pool=mean,0.6498
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,Echo_mean,NCWP_on_Echo,128,"[0, 1, 2]",2910,7128,spearman_x100,66.8961,ncwp_ref; template=Echo pool=mean,0.1716
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,Echo_mean,NCWP_on_Echo,256,"[0, 1, 2]",2910,7128,spearman_x100,67.4003,ncwp_ref; template=Echo pool=mean,0.142
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,Echo_last,Echo_last,4096,"[0, 1, 2]",2910,7128,spearman_x100,35.9344,template=Echo pool=last,
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,Echo_last,NCWP_on_Echo,32,"[0, 1, 2]",2910,7128,spearman_x100,51.271,ncwp_ref; template=Echo pool=last,0.7427
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,Echo_last,NCWP_on_Echo,64,"[0, 1, 2]",2910,7128,spearman_x100,54.2128,ncwp_ref; template=Echo pool=last,0.7215
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,Echo_last,NCWP_on_Echo,128,"[0, 1, 2]",2910,7128,spearman_x100,57.1706,ncwp_ref; template=Echo pool=last,0.781
stsb,train+test,llama-8b,meta-llama/Meta-Llama-3.1-8B,Echo_last,NCWP_on_Echo,256,"[0, 1, 2]",2910,7128,spearman_x100,58.0059,ncwp_ref; template=Echo pool=last,0.3097
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Base_mean_pool,3584,"[0, 1, 2]",2910,7128,spearman_x100,37.9702,paper Base (cached),
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,56,"[0, 1, 2]",2910,7128,spearman_x100,55.1901,ncwp_ref; new-seed reverify vs Table 1,0.2361
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,112,"[0, 1, 2]",2910,7128,spearman_x100,57.0412,ncwp_ref; new-seed reverify vs Table 1,0.3221
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,224,"[0, 1, 2]",2910,7128,spearman_x100,58.0328,ncwp_ref; new-seed reverify vs Table 1,0.3289
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,448,"[0, 1, 2]",2910,7128,spearman_x100,58.9686,ncwp_ref; new-seed reverify vs Table 1,0.0518
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,PromptEOL_A,PromptEOL_A,3584,"[0, 1, 2]",2910,7128,spearman_x100,69.2467,template=PromptEOL_A pool=last,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,PromptEOL_A,NCWP_on_PromptEOL,56,"[0, 1, 2]",2910,7128,spearman_x100,73.9266,ncwp_ref; template=PromptEOL_A pool=last,0.4843
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,PromptEOL_A,NCWP_on_PromptEOL,112,"[0, 1, 2]",2910,7128,spearman_x100,75.9573,ncwp_ref; template=PromptEOL_A pool=last,0.4613
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,PromptEOL_A,NCWP_on_PromptEOL,224,"[0, 1, 2]",2910,7128,spearman_x100,76.3155,ncwp_ref; template=PromptEOL_A pool=last,0.2044
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,PromptEOL_A,NCWP_on_PromptEOL,448,"[0, 1, 2]",2910,7128,spearman_x100,76.7225,ncwp_ref; template=PromptEOL_A pool=last,0.1008
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,PromptEOL_B,PromptEOL_B,3584,"[0, 1, 2]",2910,7128,spearman_x100,39.294,template=PromptEOL_B pool=last,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,PromptEOL_B,NCWP_on_PromptEOL,56,"[0, 1, 2]",2910,7128,spearman_x100,66.2852,ncwp_ref; template=PromptEOL_B pool=last,0.063
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,PromptEOL_B,NCWP_on_PromptEOL,112,"[0, 1, 2]",2910,7128,spearman_x100,67.8949,ncwp_ref; template=PromptEOL_B pool=last,0.2876
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,PromptEOL_B,NCWP_on_PromptEOL,224,"[0, 1, 2]",2910,7128,spearman_x100,68.7895,ncwp_ref; template=PromptEOL_B pool=last,0.138
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,PromptEOL_B,NCWP_on_PromptEOL,448,"[0, 1, 2]",2910,7128,spearman_x100,69.2127,ncwp_ref; template=PromptEOL_B pool=last,0.1092
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,Echo_mean,Echo_mean,3584,"[0, 1, 2]",2910,7128,spearman_x100,46.4555,template=Echo pool=mean,
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,Echo_mean,NCWP_on_Echo,56,"[0, 1, 2]",2910,7128,spearman_x100,62.3031,ncwp_ref; template=Echo pool=mean,0.2495
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,Echo_mean,NCWP_on_Echo,112,"[0, 1, 2]",2910,7128,spearman_x100,64.1895,ncwp_ref; template=Echo pool=mean,0.387
stsb,train+test,qwen-8b,Qwen/Qwen2-7B,Echo_mean,NCWP_on_Echo,224,"[0, 1, 2]",2910,7128,spearman_x100,65.1166,ncwp_ref; template=Echo pool=mean,0.1719
