example_no,qid,query,method,top1_docid,top2_docid,top3_docid,top4_docid,top5_docid,top1_text,top2_text,top3_text,top4_text,top5_text
1,306365,Why dopeople can't sleep with lights on?,Base,403001,486969,14479,1638,243298,What doesit take for a man to propose?,Does it mean that you are tired or ill if you can't get your energy back in minutes?,Why don't you cry?,"What does ""I fancy you"" mean?","What do you mean by ""hi""?"
1,306365,Why dopeople can't sleep with lights on?,PCA-White,353059,403001,291121,337083,449384,Bendix square employeeservicepinwithsmallrubylookingstonewhatyearisit?,What doesit take for a man to propose?,"What is the difference between ""trip"", ""tour"" and ""journey""?","What does ""pun"" mean?","Is the word ""overrated"" overrated?"
1,306365,Why dopeople can't sleep with lights on?,NCWP,403001,306364 [relevant],498250,353059,14479,What doesit take for a man to propose?,Why can't I sleep with the lights off?,Why do people sleep with each other?,Bendix square employeeservicepinwithsmallrubylookingstonewhatyearisit?,Why don't you cry?
2,135674,What is the easiest way to learn PPC?,Base,260728,44200,113315,515642,355293,What is the easiest way to learn good photography?,What is the the best way to learn programming?,What is the best way to start learn hacking?,What is the best way to learn SAS?,What is the best way to learn analytics?
2,135674,What is the easiest way to learn PPC?,PCA-White,260728,194366,156451,339765,131567,What is the easiest way to learn good photography?,What is the fastest and easiest way to learn piano?,What is the easiest way to suicide?,What is the easiest way to get in shape?,What is the easiest way to learn about laws in India?
2,135674,What is the easiest way to learn PPC?,NCWP,260728,135673 [relevant],328437,181116,339765,What is the easiest way to learn good photography?,How can i learn PPC?,What is the easiest way to become wealthy?,What is the best way to learn electrical engineering?,What is the easiest way to get in shape?
3,52494,What's the big deal about cultural appropriation?,Base,467943,192963,450846,205473,170401,What's the difference between culture and tradition?,What's the point of life?,What's the relationship between science and belief?,What is the big deal about working at Google?,What's special about the Arabic language?
3,52494,What's the big deal about cultural appropriation?,PCA-White,467943,192963,430332,446295,386950,What's the difference between culture and tradition?,What's the point of life?,What's the difference between kidnapping and abduction?,What's the effect of coffee?,What's the difference between stupidity and learning disability?
3,52494,What's the big deal about cultural appropriation?,NCWP,52495 [relevant],467943,40232 [relevant],336696,17587,Why do people care so much about cultural appropriation?,What's the difference between culture and tradition?,What is cultural appropriation and why is it such a big problem?,What is the definition of cultural boundary?,What are cultural faux pas?
4,254177,What's the best way to treat roach bites?,Base,465558,33601,7166,183857,207980,What is the best way to kill house flies?,What is the best way to cure of anxiety disorder?,What is the best way to get rid of acne?,What is the best way to get rid of a scar?,What is the best way to get rid of annoying roommates?
4,254177,What's the best way to treat roach bites?,PCA-White,313775,537212,465558,7166,79768,What's the best way to learn chess?,What's the best way to deal intimidating people?,What is the best way to kill house flies?,What is the best way to get rid of acne?,What's the best way to mince garlic?
4,254177,What's the best way to treat roach bites?,NCWP,487101,254178 [relevant],531660,258914,33601,How do you get rid of roaches?,How do I treat a sore roach bite?,What's the best way to get sleep?,What is the best way to treat the flu?,What is the best way to cure of anxiety disorder?
5,41356,Will Ukraine ever join Nato?,Base,103356,301297,215069,271124,237724,Will Russia invade Britain?,Will Russia destroy Isis?,Why doesn’t Ukraine join NATO?,Why Ukraine isn't joining Russia?,Will India and Pakistan go to war again?
5,41356,Will Ukraine ever join Nato?,PCA-White,103356,301297,464705,233455,458786,Will Russia invade Britain?,Will Russia destroy Isis?,Will Pakistan nuke India?,Will India Balkanize?,Why did Russia annex Crimea?
5,41356,Will Ukraine ever join Nato?,NCWP,215069,41355 [relevant],301297,271124,103356,Why doesn’t Ukraine join NATO?,What are the chances of Ukraine joining NATO?,Will Russia destroy Isis?,Why Ukraine isn't joining Russia?,Will Russia invade Britain?
6,327509,Which is the best online news portal?,Base,246898,226086,275982,112256,457593,Which is the best website for writing blogs?,Which is the best website for finding jobs?,Which is the best website development software?,Which is the best news channel to watch?,Which is the best video calling app?
6,327509,Which is the best online news portal?,PCA-White,112256,93720,226086,246898,275982,Which is the best news channel to watch?,Which is the best online shopping website in Singapore?,Which is the best website for finding jobs?,Which is the best website for writing blogs?,Which is the best website development software?
6,327509,Which is the best online news portal?,NCWP,112256,93720,327508 [relevant],108995,359371,Which is the best news channel to watch?,Which is the best online shopping website in Singapore?,What are the best online news portal?,Which is the best Android games?,Which is the best flight simulator?
7,153281,Is the Ancient Alien Theory Correct?,Base,196126,105616,244016,321281,395094,"Is Scott Gordon's ""The God Entity: The Theory of Everything"" a valid premise?",Is the New York Times failing?,Is the Bible a lie?,Is the Moon hollow?,"Does anyone take the The Church of the SubGenius, a satire, seriously?"
7,153281,Is the Ancient Alien Theory Correct?,PCA-White,430831,196126,321281,311632,244016,Is Educational Psychology a Science of Education?,"Is Scott Gordon's ""The God Entity: The Theory of Everything"" a valid premise?",Is the Moon hollow?,Is The Secret real? Does it work?,Is the Bible a lie?
7,153281,Is the Ancient Alien Theory Correct?,NCWP,244016,196126,338886 [relevant],357704,199715,Is the Bible a lie?,"Is Scott Gordon's ""The God Entity: The Theory of Everything"" a valid premise?",What are the evidences to support the ancient alien theory?,"How historically accurate is the evidence shown in ""Ancient Aliens"" from History Channel?","Is the Big Bang actually possible, or not?"
8,312568,What are the benefits and detriments of neutering?,Base,22954,488931,411464,204975,177292,What are the pros and cons of marriage?,What are the advantages and disadvantages of marriage?,What are the advantages and disadvantages of cannabis?,What are the pros and cons of friction?,What are the pros and cons of nationalism?
8,312568,What are the benefits and detriments of neutering?,PCA-White,22954,162097,247014,222628,305396,What are the pros and cons of marriage?,What are the pros and cons of elaborate weaving?,What are the pros and cons of using steroids?,What are the pros and cons of transpirational pulls?,What are the benefits of celibacy?
8,312568,What are the benefits and detriments of neutering?,NCWP,365883,18737,155514 [relevant],488931,229086,What are the benefits of bidding?,What are the benefits and tradeoffs of pair programming?,What is the benefit of dog neutering?,What are the advantages and disadvantages of marriage?,What are the advantages and disadvantages of using oil?
