dataset,model,anchor_text,neighbor_text,space,rank,cosine_similarity,gold_label_or_score,lexical_overlap,notes
stsb,qwen-4b,You should never do it.,You should do it.,ZCA-whitened,1,0.6782,1.0,0.8,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,You should do it.,You should never do it.,ZCA-whitened,2,0.6782,1.0,0.8,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,Bush gets zero credit for the budget under him.,"And, Obama gets zero credit for the budget under him.",ZCA-whitened,1,0.7005,1.8,0.727,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,"And, Obama gets zero credit for the budget under him.",Bush gets zero credit for the budget under him.,ZCA-whitened,1,0.7005,1.8,0.727,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,World Cup live: France 0-0 Germany,World Cup live: Germany 0-0 Ghana,ZCA-whitened,1,0.9304,1.4,0.714,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,World Cup live: Germany 0-0 Ghana,World Cup live: France 0-0 Germany,ZCA-whitened,1,0.9304,1.4,0.714,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,There is no freedom of religion.,There is no freedom of speech.,ZCA-whitened,1,0.9188,1.2,0.714,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,There is no freedom of speech.,There is no freedom of religion.,ZCA-whitened,1,0.9188,1.2,0.714,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,Two people are riding a motorcycle.,Two people are riding a bike.,ZCA-whitened,1,0.9071,2.0,0.714,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,Two people are riding a bike.,Two people are riding a motorcycle.,ZCA-whitened,1,0.9071,2.0,0.714,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,A person is peeling an eggplant.,A person is peeling an onion.,ZCA-whitened,1,0.5427,2.0,0.714,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,A person is peeling an onion.,A person is peeling an eggplant.,ZCA-whitened,2,0.5427,2.0,0.714,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,A man is playing the piano.,A man is playing the trumpet.,ZCA-whitened,5,0.4973,1.6,0.714,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,A man is playing the trumpet.,A man is playing the piano.,ZCA-whitened,5,0.4973,1.6,0.714,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,bam is a city in southeastern,zahedan is a city in southeastern ,ZCA-whitened,2,0.2891,1.8,0.714,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,zahedan is a city in southeastern ,bam is a city in southeastern,ZCA-whitened,8,0.2891,1.8,0.714,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,A man and a woman are talking to each other.,A man and a woman are kissing each other.,ZCA-whitened,3,0.516,0.6,0.7,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,A man and a woman are kissing each other.,A man and a woman are talking to each other.,ZCA-whitened,7,0.516,0.6,0.7,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,Indonesian president to visit UK,Indonesian president to visit Australia,ZCA-whitened,1,0.9816,1.4,0.667,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,Indonesian president to visit Australia,Indonesian president to visit UK,ZCA-whitened,1,0.9816,1.4,0.667,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,Foreign exchange rates in Singapore,Foreign exchange rates in India,ZCA-whitened,1,0.9674,1.4,0.667,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,Foreign exchange rates in India,Foreign exchange rates in Singapore,ZCA-whitened,1,0.9674,1.4,0.667,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,The man is playing the guitar.,The man is playing the piano.,ZCA-whitened,1,0.9096,1.6,0.667,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,The man is playing the piano.,The man is playing the guitar.,ZCA-whitened,1,0.9096,1.6,0.667,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,No healthy person needs sex.,No healthy person needs gambling.,ZCA-whitened,1,0.8505,1.4,0.667,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,No healthy person needs gambling.,No healthy person needs sex.,ZCA-whitened,1,0.8505,1.4,0.667,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,"You mean, you believe the word of the SpringHallConvert?","You mean, you believe the word of the Mainstream Media?",ZCA-whitened,1,0.8066,1.8,0.667,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,"You mean, you believe the word of the Mainstream Media?","You mean, you believe the word of the SpringHallConvert?",ZCA-whitened,1,0.8066,1.8,0.667,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,Two dogs in a yard.,Two dogs in a stream.,ZCA-whitened,1,0.7501,2.0,0.667,"gold<= 2.0, jaccard>= 0.5"
stsb,qwen-4b,Two dogs in a stream.,Two dogs in a yard.,ZCA-whitened,1,0.7501,2.0,0.667,"gold<= 2.0, jaccard>= 0.5"
quora,qwen-4b,How can I tell when someone unfollows me on Instagram?,How can I tell when someone unfollows me on Instagram?,ZCA-whitened,1,1.0,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,How do I write an essay?,How do I write an essay?,ZCA-whitened,1,1.0,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,How do you build a website?,How do you build a website?,ZCA-whitened,1,0.9999,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,What are your 10/10 movies?,What are your 10/10 movies?,ZCA-whitened,1,0.9994,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,What is knowledge management?,What is knowledge management?,ZCA-whitened,1,0.999,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,What is true love?,What is true love?,ZCA-whitened,1,0.9987,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,Who is the Prime Minister of India?,Who is the Prime Minister of India?,ZCA-whitened,1,0.9984,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,What is it like to fall in love?,What is it like to fall in love?,ZCA-whitened,1,0.9983,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,What is the truth of life?,What is the truth of life?,ZCA-whitened,1,0.998,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
