id,split,semantic_id,pattern_id,group_tag,role,text
0,train,sem_0169,drink:decl,para3,lex,I have water.
1,train,sem_seed_learn_ynq_do,learn:ynq_do,singleton,single-seed,do We study a novel?
2,train,sem_0098,move:decl,para3,lex,She come to the office.
3,train,sem_seed_learn_conditional_if,learn:conditional_if,singleton,single-seed,"If it is warm, They review music."
4,train,sem_0102,acq:decl,para3,base,I get a book.
5,train,sem_seed_watch_past_simple,watch:past_simple,singleton,single-seed,We viewed a movie.
6,train,sem_seed_social_because_cause,social:because_cause,singleton,single-seed,"They make coffee, because it is warm."
7,train,sem_0015,social:decl,para4,lex,They start tea.
8,train,sem_0158,pref:decl,para3,lex,You prefer a book.
9,train,sem_seed_move_present_cont,move:present_cont,singleton,single-seed,We are running to the town.
10,train,sem_single_0917,eat:front_place,singleton,single,"at the library, He order a sandwich."
11,train,sem_seed_eat_past_simple,eat:past_simple,singleton,single-seed,They ordered dinner.
12,train,sem_0003,move:decl,para4,base,We arrive at the library.
13,train,sem_single_0920,acq:wh_where,singleton,single,Where do I buy?
14,train,sem_0273,eat:decl,para3,base,She order a sandwich.
15,train,sem_0053,eat:front_time,para4,order,"Now, She have a sandwich."
16,train,sem_0117,drink:decl,para3,lex,He drink a sandwich.
17,train,sem_0133,move:decl,para3,lex,She travel to the town.
18,train,sem_seed_acq_going_to,acq:going_to,singleton,single-seed,I am going to order dinner.
19,train,sem_0031,social:going_to,para4,tense,He is going to use a phone.
20,train,sem_seed_learn_front_time,learn:front_time,singleton,single-seed,"Now, She review a song."
21,train,sem_0172,drink:decl,para3,lex,We drink water.
22,train,sem_0135,call:present_cont,para3,tense,You are contacting my mother.
23,train,sem_0309,move:decl,para3,lex,I jog to the cafe.
24,train,sem_0082,learn:front_place,para3,order,"at home, He practice music."
25,train,sem_0096,drink:decl,para3,lex,I sip coffee.
26,train,sem_0144,call:decl,para3,lex,She call a friend.
27,train,sem_0014,pref:future_will,para4,tense,He will enjoy a novel.
28,train,sem_seed_learn_emph_do,learn:emph_do,singleton,single-seed,I do practice a book.
29,train,sem_0303,move:decl,para3,lex,She come to the station.
30,train,sem_0081,play:front_place,para3,order,"at the park, I play a song."
31,train,sem_seed_pref_future_will,pref:future_will,singleton,single-seed,She will like juice.
32,train,sem_single_0937,social:wh_when,singleton,single,When does He take?
33,train,sem_0291,social:decl,para3,lex,They make a ticket.
34,train,sem_0221,social:decl,para3,base,We help a friend.
35,train,sem_single_0944,play:wh_when,singleton,single,When do They play?
36,train,sem_0275,drink:going_to,para3,tense,She is going to sip coffee.
37,train,sem_0085,pref:decl,para3,lex,They enjoy pizza.
38,train,sem_0017,social:decl,para4,base,He make a sandwich.
39,train,sem_single_0955,play:wh_where,singleton,single,Where does She play?
40,train,sem_seed_eat_present_cont,eat:present_cont,singleton,single-seed,He is eatting lunch.
41,train,sem_single_0964,acq:perfect_pr,singleton,single,He has ordered pizza.
42,train,sem_0028,learn:going_to,para4,tense,They are going to read music.
43,train,sem_0240,acq:decl,para3,lex,They purchase a phone.
44,train,sem_0004,social:past_simple,para4,tense,You met my teacher.
45,train,sem_0040,call:decl,para4,base,She call my father.
46,train,sem_single_0933,play:going_to,singleton,single,You are going to play a game.
47,train,sem_seed_social_wh_what,social:wh_what,singleton,single-seed,What do We choose?
48,train,sem_0297,watch:front_place,para3,order,"at the office, He view a movie."
49,train,sem_0015,social:front_time,para4,order,"Today, They make coffee."
50,train,sem_0186,acq:decl,para3,base,They pick pizza.
51,train,sem_0090,eat:present_cont,para3,tense,I am haveing pizza.
52,train,sem_0076,watch:decl,para3,base,We view a show.
53,train,sem_0296,pref:front_place,para3,order,"at the office, I prefer a song."
