dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,std_if_available,notes
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_knn_positive,40,"[42, 43, 44]",2910,7128,spearman_x100,38.1389,1.0029,variant=full whiten=False
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_knn_positive,80,"[42, 43, 44]",2910,7128,spearman_x100,41.5363,0.5998,variant=full whiten=False
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_knn_positive,160,"[42, 43, 44]",2910,7128,spearman_x100,43.6806,0.7095,variant=full whiten=False
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_noise_positive,40,"[42, 43, 44]",2910,7128,spearman_x100,38.9233,0.3422,variant=noise whiten=False sigma=0.05
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_noise_positive,80,"[42, 43, 44]",2910,7128,spearman_x100,42.5689,0.8678,variant=noise whiten=False sigma=0.05
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_noise_positive,160,"[42, 43, 44]",2910,7128,spearman_x100,44.946,0.4276,variant=noise whiten=False sigma=0.05
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_random_positive,40,"[42, 43, 44]",2910,7128,spearman_x100,42.4196,0.0935,variant=random_pairs whiten=False
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_random_positive,80,"[42, 43, 44]",2910,7128,spearman_x100,44.008,0.0461,variant=random_pairs whiten=False
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_random_positive,160,"[42, 43, 44]",2910,7128,spearman_x100,44.9672,0.6676,variant=random_pairs whiten=False
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_dropout_positive,40,"[42, 43, 44]",2910,7128,spearman_x100,,,not_applicable: frozen decoder-only inference dropout~0
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_dropout_positive,80,"[42, 43, 44]",2910,7128,spearman_x100,,,not_applicable: frozen decoder-only inference dropout~0
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_dropout_positive,160,"[42, 43, 44]",2910,7128,spearman_x100,,,not_applicable: frozen decoder-only inference dropout~0
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_knn_positive,40,"[42, 43, 44]",2000,10000,ndcg@10,32.4337,0.3807,variant=full whiten=False
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_knn_positive,80,"[42, 43, 44]",2000,10000,ndcg@10,37.3187,0.459,variant=full whiten=False
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_knn_positive,160,"[42, 43, 44]",2000,10000,ndcg@10,41.18,0.8045,variant=full whiten=False
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_noise_positive,40,"[42, 43, 44]",2000,10000,ndcg@10,29.1921,0.2745,variant=noise whiten=False sigma=0.05
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_noise_positive,80,"[42, 43, 44]",2000,10000,ndcg@10,38.5071,0.1314,variant=noise whiten=False sigma=0.05
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_noise_positive,160,"[42, 43, 44]",2000,10000,ndcg@10,44.7768,0.1873,variant=noise whiten=False sigma=0.05
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_random_positive,40,"[42, 43, 44]",2000,10000,ndcg@10,34.1506,0.3809,variant=random_pairs whiten=False
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_random_positive,80,"[42, 43, 44]",2000,10000,ndcg@10,39.5119,0.5947,variant=random_pairs whiten=False
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_random_positive,160,"[42, 43, 44]",2000,10000,ndcg@10,43.6924,0.4199,variant=random_pairs whiten=False
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_dropout_positive,40,"[42, 43, 44]",2000,10000,ndcg@10,,,not_applicable: frozen decoder-only inference dropout~0
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_dropout_positive,80,"[42, 43, 44]",2000,10000,ndcg@10,,,not_applicable: frozen decoder-only inference dropout~0
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_dropout_positive,160,"[42, 43, 44]",2000,10000,ndcg@10,,,not_applicable: frozen decoder-only inference dropout~0
