id,split,semantic_id,pattern_id,group_tag,role,text,semantic_same_ids,tfidf_top1_id,tfidf_top2_id,tfidf_top3_id,tfidf_top4_id,tfidf_top5_id,tfidf_top6_id,tfidf_top7_id,tfidf_top8_id,tfidf_top9_id,tfidf_top10_id,tfidf_top11_id,tfidf_top12_id,bm25_top1_id,bm25_top2_id,bm25_top3_id,bm25_top4_id,bm25_top5_id,bm25_top6_id,bm25_top7_id,bm25_top8_id,bm25_top9_id,bm25_top10_id,bm25_top11_id,bm25_top12_id,jaccard_top1_id,jaccard_top2_id,jaccard_top3_id,jaccard_top4_id,jaccard_top5_id,jaccard_top6_id,jaccard_top7_id,jaccard_top8_id,jaccard_top9_id,jaccard_top10_id,jaccard_top11_id,jaccard_top12_id,tfidf_top_ids,bm25_top_ids,jaccard_top_ids,overlap2_3metrics_ids,overlap2_3metrics_count,overlap3_3metrics_ids,overlap3_3metrics_count,text_len_char,text_len_word,tf_idf_tops,jaccard_tops,bm25_tops,overlap2,overlap3,U2,U3,nvidia/llama-embed-nemotron-8b,neighbors_union,neighbors_union_count,qwen3-4b,qwen3-8b
0,train,sem_0169,drink:decl,para3,lex,I have water.,225;654,957,750.0,409.0,289.0,551.0,,,,,,,,957,750,289,793,990.0,493.0,869.0,254.0,120.0,324.0,305.0,100.0,750,493.0,289.0,957.0,869.0,324.0,305.0,793.0,254.0,120.0,100.0,221.0,957;750;409;289;551,957;750;289;793;990;493;869;254;120;324;305;100,750;493;289;957;869;324;305;793;254;120;100;221,100;120;254;289;305;324;493;750;793;869;957,11,289;750;957,3,13,3,957;750;409;289;551,289;493;750;869;957;120;254;305;324;793;100;221,750;957;289;793;869;493;254;305;120;324;551;409,120;254;289;305;324;409;493;551;750;793;869;957,289;750;957,120;225;254;289;305;324;409;493;551;654;750;793;869;957,225;289;654;750;957,750;289;793,289;750;793;957,4,750;957;793;289,750;957;793;289
1,train,sem_seed_learn_ynq_do,learn:ynq_do,singleton,single-seed,do We study a novel?,,231,814.0,158.0,168.0,402.0,838.0,111.0,479.0,,,,,158,402,814,231,271.0,168.0,111.0,695.0,226.0,587.0,702.0,598.0,158,587.0,231.0,402.0,226.0,814.0,702.0,695.0,168.0,138.0,598.0,447.0,231;814;158;168;402;838;111;479,158;402;814;231;271;168;111;695;226;587;702;598,158;587;231;402;226;814;702;695;168;138;598;447,111;158;168;226;231;402;587;598;695;702;814,11,158;168;231;402;814,5,20,5,231;814;168;158;838;402;111;479,158;168;226;231;402;587;695;702;814;138;598;447,158;402;814;231;271;168;226;702;695;587;111;598,111;158;168;226;231;402;587;598;695;702;814,158;168;231;402;814,111;158;168;226;231;402;587;598;695;702;814,158;168;231;402;814,814,158;814,2,158;814,158;814
2,train,sem_0098,move:decl,para3,lex,She come to the office.,246;928,669,396.0,450.0,29.0,429.0,855.0,608.0,292.0,928.0,82.0,327.0,790.0,934,396,29,691,608.0,292.0,583.0,82.0,855.0,450.0,669.0,928.0,29,396.0,934.0,691.0,583.0,246.0,450.0,608.0,928.0,224.0,300.0,17.0,669;396;450;29;429;855;608;292;928;82;327;790,934;396;29;691;608;292;583;82;855;450;669;928,29;396;934;691;583;246;450;608;928;224;300;17,29;82;292;396;450;583;608;669;691;855;928;934,12,29;396;450;608;928,5,23,5,669;396;450;29;292;855;608;429;928;82;790;583,29;396;934;691;17;82;224;246;286;292;300;322,396;29;934;691;608;583;292;82;855;669;450;928,29;82;292;396;450;583;608;669;691;855;928;934,29;82;292;396,29;82;246;292;396;450;583;608;669;691;855;928;934,29;82;246;292;396;928,928;246;396;29,29;246;396;928,4,928,928
3,train,sem_seed_learn_conditional_if,learn:conditional_if,singleton,single-seed,"If it is warm, They review music.",,235,951.0,789.0,175.0,364.0,193.0,176.0,299.0,260.0,786.0,119.0,571.0,175,951,176,625,990.0,680.0,571.0,527.0,786.0,119.0,319.0,142.0,951,175.0,176.0,235.0,680.0,625.0,571.0,990.0,482.0,6.0,130.0,119.0,235;951;789;175;364;193;176;299;260;786;119;571,175;951;176;625;990;680;571;527;786;119;319;142,951;175;176;235;680;625;571;990;482;6;130;119,119;175;176;235;571;625;680;786;951;990,10,119;175;176;571;951,5,33,7,235;789;951;364;175;193;176;260;786;299;119;571,175;951;176;235;6;482;571;625;680;990;119;130,951;175;990;680;625;571;176;786;527;319;299;119,119;175;176;235;299;571;625;680;786;951;990,119;175;176;571;951,119;175;176;235;299;571;625;680;786;951;990,119;175;176;571;951,235,235,1,,
4,train,sem_0102,acq:decl,para3,base,I get a book.,241;290,592,290.0,123.0,679.0,398.0,821.0,360.0,,,,,,290,592,123,821,993.0,394.0,477.0,704.0,360.0,939.0,28.0,733.0,290,939.0,704.0,123.0,360.0,394.0,592.0,477.0,821.0,926.0,28.0,733.0,592;290;123;679;398;821;360,290;592;123;821;993;394;477;704;360;939;28;733,290;939;704;123;360;394;592;477;821;926;28;733,28;123;290;360;394;477;592;704;733;821;939,11,123;290;360;592;821,5,13,4,592;290;123;679;821;867,290;123;360;394;477;592;704;939;28;733;821;926,290;592;123;821;993;360;704;394;939;477;28;926,28;123;290;360;394;477;592;704;821;926;939,123;290;592;821,28;123;241;290;360;394;477;592;704;821;926;939,123;241;290;592;821,290;592;360,290;360;592,3,290;592,290;592
5,train,sem_seed_watch_past_simple,watch:past_simple,singleton,single-seed,We viewed a movie.,,732,220.0,704.0,272.0,375.0,,,,,,,,135,442,59,455,,,,,,,,,135,442.0,59.0,455.0,861.0,892.0,859.0,833.0,808.0,781.0,959.0,684.0,732;220;704;272;375,135;442;59;455,135;442;59;455;861;892;859;833;808;781;959;684,59;135;442;455,4,,0,18,4,732;220;704;272,135;442;59;455;34;52;118;151;168;177;185;207,135;442;59;455;768;185;220;778;375;732;419;824,59;135;185;220;442;455;732,,59;135;185;220;442;455;732,,135;259;633;852;419,135;220;259;419;490;633;732;852,8,220;732;490,220;732;490
6,train,sem_seed_social_because_cause,social:because_cause,singleton,single-seed,"They make coffee, because it is warm.",,988,482.0,510.0,279.0,206.0,822.0,779.0,710.0,564.0,912.0,795.0,799.0,779,988,912,130,329.0,924.0,710.0,482.0,584.0,799.0,347.0,564.0,912,988.0,779.0,130.0,822.0,924.0,710.0,3.0,482.0,329.0,661.0,49.0,988;482;510;279;206;822;779;710;564;912;795;799,779;988;912;130;329;924;710;482;584;799;347;564,912;988;779;130;822;924;710;3;482;329;661;49,130;329;482;564;710;779;799;822;912;924;988,11,482;710;779;912;988,5,37,7,279;822;779;988;564;510;482;206;912;329;130;924,130;779;912;988;822;3;329;482;710;924;49;661,988;130;779;912;822;924;482;710;329;206;279;795,130;206;279;329;482;710;779;822;912;924;988,130;329;482;779;822;912;924;988,130;206;279;329;482;710;779;822;912;924;988,130;329;482;779;822;912;924;988,,,0,,
7,train,sem_0015,social:decl,para4,lex,They start tea.,49;661;822,582,282.0,887.0,679.0,,,,,,,,,582,647,955,870,194.0,918.0,759.0,887.0,569.0,679.0,915.0,282.0,870,955.0,647.0,194.0,918.0,582.0,,,,,,,582;282;887;679,582;647;955;870;194;918;759;887;569;679;915;282,870;955;647;194;918;582,194;282;582;647;679;870;887;918;955,9,582,1,15,3,582,647;870;955;194;582;918,582;955;647;870;918;194;887;569;282;601;679;915,194;582;647;870;918;955,582,49;194;582;647;661;822;870;918;955,49;582;661;822,647,194;647;870;955,4,955;647;870;194,955;647;870;194
8,train,sem_0158,pref:decl,para3,lex,You prefer a book.,539;540,74,794.0,983.0,810.0,650.0,937.0,785.0,951.0,78.0,383.0,752.0,393.0,983,74,794,810,650.0,951.0,785.0,752.0,413.0,273.0,937.0,340.0,983,413.0,273.0,794.0,752.0,74.0,810.0,217.0,340.0,785.0,650.0,937.0,74;794;983;810;650;937;785;951;78;383;752;393,983;74;794;810;650;951;785;752;413;273;937;340,983;413;273;794;752;74;810;217;340;785;650;937,74;273;340;413;650;752;785;794;810;937;951;983,12,74;650;752;785;794;810;937;983,8,18,4,74;794;983;810;650;937;951;78;383;785;752;393,983;74;273;413;752;794;217;340;810;650;785;937,983;74;794;810;937;650;752;273;413;951;340;217,74;217;273;340;413;650;752;785;794;810;937;951;983,74;650;752;794;810;937;983,74;217;273;340;413;539;540;650;752;785;794;810;937;951;983,74;539;540;650;752;794;810;937;983,794;74;983,74;794;983,3,74;794;983,74;794;983
9,train,sem_seed_move_present_cont,move:present_cont,singleton,single-seed,We are running to the town.,,619,973.0,352.0,286.0,415.0,173.0,608.0,936.0,715.0,17.0,828.0,790.0,286,71,17,608,352.0,828.0,973.0,936.0,715.0,945.0,415.0,813.0,855,715.0,286.0,549.0,608.0,71.0,17.0,82.0,973.0,352.0,936.0,803.0,619;973;352;286;415;173;608;936;715;17;828;790,286;71;17;608;352;828;973;936;715;945;415;813,855;715;286;549;608;71;17;82;973;352;936;803,17;71;286;352;415;608;715;828;936;973,10,17;286;352;608;715;936;973,7,27,6,352;415;608;286,17;71;82;286;352;549;608;715;803;828;855;936,936;286;352;715;973;71;828;17;608;790;813;415,17;71;286;352;415;608;715;828;936,286;352;608,17;71;286;352;415;608;715;828;936,286;352;608,,619,1,619,619
