model,r,memory_bank,memory_bank_size,hard_neg_K,qr_interval,spearman,std,per_seed,steps,bank_rows_final,bank_rows_max,pool_width_final,pool_width_max,frac_from_bank_mean,frac_from_bank_last100
qwen-4b,20,ON,4096,32,200,46.9978,0.5036,"[47.532, 47.1386, 46.3228]",1200,4096,4096,4608,4608,0.8841,0.8884
qwen-4b,20,OFF,0,32,200,47.6584,0.5898,"[48.4731, 47.4057, 47.0964]",2000,0,0,512,512,0.0,0.0
qwen-4b,80,ON,4096,32,200,53.2002,0.2031,"[53.1768, 53.4597, 52.964]",1000,4096,4096,4608,4608,0.88,0.8862
qwen-4b,80,OFF,0,32,200,53.7913,0.3424,"[53.4902, 54.2703, 53.6133]",2000,0,0,512,512,0.0,0.0
qwen-4b,320,ON,4096,32,200,55.8493,0.2963,"[55.9384, 56.1594, 55.4501]",1000,4096,4096,4608,4608,0.8789,0.8844
qwen-4b,320,OFF,0,32,200,55.9873,0.1948,"[55.9211, 56.252, 55.7888]",2000,0,0,512,512,0.0,0.0
qwen-8b,20,ON,4096,32,200,50.745,0.5658,"[50.2387, 51.5348, 50.4614]",1000,4096,4096,4608,4608,0.8831,0.8874
qwen-8b,20,OFF,0,32,200,51.4836,0.6051,"[50.8694, 52.3067, 51.2747]",2000,0,0,512,512,0.0,0.0
qwen-8b,80,ON,4096,32,200,56.0583,0.2698,"[55.7119, 56.0931, 56.37]",1000,4096,4096,4608,4608,0.8808,0.8853
qwen-8b,80,OFF,0,32,200,56.9951,0.2501,"[57.3235, 56.7172, 56.9446]",2000,0,0,512,512,0.0,0.0
qwen-8b,320,ON,4096,32,200,57.9022,0.0717,"[57.8391, 57.8649, 58.0026]",1000,4096,4096,4608,4608,0.88,0.886
qwen-8b,320,OFF,0,32,200,58.0518,0.1963,"[58.0768, 58.2788, 57.7999]",2000,0,0,512,512,0.0,0.0
llama-8b,20,ON,4096,32,200,54.747,0.7771,"[54.4456, 53.9825, 55.8129]",1000,4096,4096,4608,4608,0.8832,0.8874
llama-8b,20,OFF,0,32,200,55.5012,0.2251,"[55.1935, 55.5843, 55.7258]",2000,0,0,512,512,0.0,0.0
llama-8b,80,ON,4096,32,200,61.1358,0.1398,"[60.9952, 61.3264, 61.0857]",1000,4096,4096,4608,4608,0.8813,0.8858
llama-8b,80,OFF,0,32,200,61.758,0.1671,"[61.638, 61.6417, 61.9943]",1000,0,0,512,512,0.0,0.0
llama-8b,320,ON,4096,32,200,63.2456,0.1085,"[63.1104, 63.2504, 63.376]",1000,4096,4096,4608,4608,0.8808,0.8862
llama-8b,320,OFF,0,32,200,63.1925,0.0549,"[63.2629, 63.129, 63.1857]",2000,0,0,512,512,0.0,0.0
