dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,notes,std_if_available
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,Base_mean_pool,2560,"[0, 1, 2]",2910,1379,spearman_x100,31.3107,paper Base (cached),
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,40,"[0, 1, 2]",2910,1379,spearman_x100,48.7052,ncwp_ref; new-seed reverify vs Table 1,0.3136
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,80,"[0, 1, 2]",2910,1379,spearman_x100,52.0257,ncwp_ref; new-seed reverify vs Table 1,0.8658
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,160,"[0, 1, 2]",2910,1379,spearman_x100,53.5949,ncwp_ref; new-seed reverify vs Table 1,0.1248
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,320,"[0, 1, 2]",2910,1379,spearman_x100,54.9641,ncwp_ref; new-seed reverify vs Table 1,0.3252
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_A,PromptEOL_A,2560,"[0, 1, 2]",2910,1379,spearman_x100,60.2006,template=PromptEOL_A pool=last,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_A,NCWP_on_PromptEOL,40,"[0, 1, 2]",2910,1379,spearman_x100,67.7148,ncwp_ref; template=PromptEOL_A pool=last,0.4808
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_A,NCWP_on_PromptEOL,80,"[0, 1, 2]",2910,1379,spearman_x100,70.7383,ncwp_ref; template=PromptEOL_A pool=last,0.1625
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_A,NCWP_on_PromptEOL,160,"[0, 1, 2]",2910,1379,spearman_x100,71.7929,ncwp_ref; template=PromptEOL_A pool=last,0.1812
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_A,NCWP_on_PromptEOL,320,"[0, 1, 2]",2910,1379,spearman_x100,73.2202,ncwp_ref; template=PromptEOL_A pool=last,0.1011
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_B,PromptEOL_B,2560,"[0, 1, 2]",2910,1379,spearman_x100,52.0729,template=PromptEOL_B pool=last,
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_B,NCWP_on_PromptEOL,40,"[0, 1, 2]",2910,1379,spearman_x100,66.3901,ncwp_ref; template=PromptEOL_B pool=last,0.8174
stsb,test,qwen-4b,Qwen/Qwen1.5-4B,PromptEOL_B,NCWP_on_PromptEOL,80,"[0, 1, 2]",2910,1379,spearman_x100,69.1645,ncwp_ref; template=PromptEOL_B pool=last,0.1119
