train_dataset,test_dataset,model_nickname,hf_model_id,method,r,seed,metric_name,metric_value,still_above_base,notes,drop_vs_refit
None,STS12,qwen-4b,Qwen/Qwen1.5-4B,Base,2560,"[0, 1, 2]",spearman_x100,46.6937,False,base=46.69,
STS12,STS12,qwen-4b,Qwen/Qwen1.5-4B,PCA_refit,80,"[0, 1, 2]",spearman_x100,44.3649,False,base=46.69,0.0
STS-B,STS12,qwen-4b,Qwen/Qwen1.5-4B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,38.3309,False,base=46.69,6.0341
STS12,STS12,qwen-4b,Qwen/Qwen1.5-4B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,45.1579,False,base=46.69,0.0
STS-B,STS12,qwen-4b,Qwen/Qwen1.5-4B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,44.7147,False,base=46.69,0.4432
None,STS13,qwen-4b,Qwen/Qwen1.5-4B,Base,2560,"[0, 1, 2]",spearman_x100,43.8678,False,base=43.87,
STS13,STS13,qwen-4b,Qwen/Qwen1.5-4B,PCA_refit,80,"[0, 1, 2]",spearman_x100,59.8633,True,base=43.87,0.0
STS-B,STS13,qwen-4b,Qwen/Qwen1.5-4B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,48.9418,True,base=43.87,10.9215
STS13,STS13,qwen-4b,Qwen/Qwen1.5-4B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,63.9434,True,base=43.87,0.0
STS-B,STS13,qwen-4b,Qwen/Qwen1.5-4B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,51.5992,True,base=43.87,12.3443
None,STS14,qwen-4b,Qwen/Qwen1.5-4B,Base,2560,"[0, 1, 2]",spearman_x100,35.5027,False,base=35.50,
STS14,STS14,qwen-4b,Qwen/Qwen1.5-4B,PCA_refit,80,"[0, 1, 2]",spearman_x100,45.6049,True,base=35.50,0.0
STS-B,STS14,qwen-4b,Qwen/Qwen1.5-4B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,40.3006,True,base=35.50,5.3043
STS14,STS14,qwen-4b,Qwen/Qwen1.5-4B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,56.1763,True,base=35.50,0.0
STS-B,STS14,qwen-4b,Qwen/Qwen1.5-4B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,45.4425,True,base=35.50,10.7338
None,STS15,qwen-4b,Qwen/Qwen1.5-4B,Base,2560,"[0, 1, 2]",spearman_x100,49.2404,False,base=49.24,
STS15,STS15,qwen-4b,Qwen/Qwen1.5-4B,PCA_refit,80,"[0, 1, 2]",spearman_x100,54.6015,True,base=49.24,0.0
STS-B,STS15,qwen-4b,Qwen/Qwen1.5-4B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,56.6672,True,base=49.24,-2.0657
STS15,STS15,qwen-4b,Qwen/Qwen1.5-4B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,54.6957,True,base=49.24,0.0
STS-B,STS15,qwen-4b,Qwen/Qwen1.5-4B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,60.3041,True,base=49.24,-5.6084
None,STS16,qwen-4b,Qwen/Qwen1.5-4B,Base,2560,"[0, 1, 2]",spearman_x100,47.3359,False,base=47.34,
STS16,STS16,qwen-4b,Qwen/Qwen1.5-4B,PCA_refit,80,"[0, 1, 2]",spearman_x100,55.9565,True,base=47.34,0.0
STS-B,STS16,qwen-4b,Qwen/Qwen1.5-4B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,52.8099,True,base=47.34,3.1466
STS16,STS16,qwen-4b,Qwen/Qwen1.5-4B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,54.7828,True,base=47.34,0.0
STS-B,STS16,qwen-4b,Qwen/Qwen1.5-4B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,55.873,True,base=47.34,-1.0902
None,SICK-R,qwen-4b,Qwen/Qwen1.5-4B,Base,2560,"[0, 1, 2]",spearman_x100,40.0262,False,base=40.03,
SICK-R,SICK-R,qwen-4b,Qwen/Qwen1.5-4B,PCA_refit,80,"[0, 1, 2]",spearman_x100,53.2924,True,base=40.03,0.0
STS-B,SICK-R,qwen-4b,Qwen/Qwen1.5-4B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,51.9109,True,base=40.03,1.3816
SICK-R,SICK-R,qwen-4b,Qwen/Qwen1.5-4B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,55.6746,True,base=40.03,0.0
STS-B,SICK-R,qwen-4b,Qwen/Qwen1.5-4B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,51.7278,True,base=40.03,3.9469
None,STS12,llama-8b,meta-llama/Meta-Llama-3.1-8B,Base,4096,"[0, 1, 2]",spearman_x100,35.3162,False,base=35.32,
STS12,STS12,llama-8b,meta-llama/Meta-Llama-3.1-8B,PCA_refit,80,"[0, 1, 2]",spearman_x100,45.3095,True,base=35.32,0.0
STS-B,STS12,llama-8b,meta-llama/Meta-Llama-3.1-8B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,40.2902,True,base=35.32,5.0194
STS12,STS12,llama-8b,meta-llama/Meta-Llama-3.1-8B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,42.1503,True,base=35.32,0.0
STS-B,STS12,llama-8b,meta-llama/Meta-Llama-3.1-8B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,43.5421,True,base=35.32,-1.3918
None,STS13,llama-8b,meta-llama/Meta-Llama-3.1-8B,Base,4096,"[0, 1, 2]",spearman_x100,53.6083,False,base=53.61,
STS13,STS13,llama-8b,meta-llama/Meta-Llama-3.1-8B,PCA_refit,80,"[0, 1, 2]",spearman_x100,63.7008,True,base=53.61,0.0
STS-B,STS13,llama-8b,meta-llama/Meta-Llama-3.1-8B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,55.0023,True,base=53.61,8.6985
STS13,STS13,llama-8b,meta-llama/Meta-Llama-3.1-8B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,61.845,True,base=53.61,0.0
STS-B,STS13,llama-8b,meta-llama/Meta-Llama-3.1-8B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,56.5487,True,base=53.61,5.2963
None,STS14,llama-8b,meta-llama/Meta-Llama-3.1-8B,Base,4096,"[0, 1, 2]",spearman_x100,43.6149,False,base=43.61,
STS14,STS14,llama-8b,meta-llama/Meta-Llama-3.1-8B,PCA_refit,80,"[0, 1, 2]",spearman_x100,48.9457,True,base=43.61,0.0
STS-B,STS14,llama-8b,meta-llama/Meta-Llama-3.1-8B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,48.3797,True,base=43.61,0.566
STS14,STS14,llama-8b,meta-llama/Meta-Llama-3.1-8B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,56.6983,True,base=43.61,0.0
STS-B,STS14,llama-8b,meta-llama/Meta-Llama-3.1-8B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,49.6814,True,base=43.61,7.0169
None,STS15,llama-8b,meta-llama/Meta-Llama-3.1-8B,Base,4096,"[0, 1, 2]",spearman_x100,56.7186,False,base=56.72,
STS15,STS15,llama-8b,meta-llama/Meta-Llama-3.1-8B,PCA_refit,80,"[0, 1, 2]",spearman_x100,57.1397,True,base=56.72,0.0
STS-B,STS15,llama-8b,meta-llama/Meta-Llama-3.1-8B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,60.541,True,base=56.72,-3.4014
STS15,STS15,llama-8b,meta-llama/Meta-Llama-3.1-8B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,59.5174,True,base=56.72,0.0
STS-B,STS15,llama-8b,meta-llama/Meta-Llama-3.1-8B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,63.4763,True,base=56.72,-3.9589
None,STS16,llama-8b,meta-llama/Meta-Llama-3.1-8B,Base,4096,"[0, 1, 2]",spearman_x100,53.2676,False,base=53.27,
STS16,STS16,llama-8b,meta-llama/Meta-Llama-3.1-8B,PCA_refit,80,"[0, 1, 2]",spearman_x100,56.5367,True,base=53.27,0.0
STS-B,STS16,llama-8b,meta-llama/Meta-Llama-3.1-8B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,53.472,True,base=53.27,3.0646
STS16,STS16,llama-8b,meta-llama/Meta-Llama-3.1-8B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,54.5428,True,base=53.27,0.0
STS-B,STS16,llama-8b,meta-llama/Meta-Llama-3.1-8B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,56.9922,True,base=53.27,-2.4494
None,SICK-R,llama-8b,meta-llama/Meta-Llama-3.1-8B,Base,4096,"[0, 1, 2]",spearman_x100,50.7468,False,base=50.75,
SICK-R,SICK-R,llama-8b,meta-llama/Meta-Llama-3.1-8B,PCA_refit,80,"[0, 1, 2]",spearman_x100,56.9317,True,base=50.75,0.0
STS-B,SICK-R,llama-8b,meta-llama/Meta-Llama-3.1-8B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,55.3301,True,base=50.75,1.6015
SICK-R,SICK-R,llama-8b,meta-llama/Meta-Llama-3.1-8B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,56.749,True,base=50.75,0.0
STS-B,SICK-R,llama-8b,meta-llama/Meta-Llama-3.1-8B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,57.1922,True,base=50.75,-0.4432
None,STS12,qwen-8b,Qwen/Qwen2-7B,Base,3584,"[0, 1, 2]",spearman_x100,41.1354,False,base=41.14,
STS12,STS12,qwen-8b,Qwen/Qwen2-7B,PCA_refit,80,"[0, 1, 2]",spearman_x100,45.3962,True,base=41.14,0.0
STS-B,STS12,qwen-8b,Qwen/Qwen2-7B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,37.0213,False,base=41.14,8.3748
STS12,STS12,qwen-8b,Qwen/Qwen2-7B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,45.4938,True,base=41.14,0.0
STS-B,STS12,qwen-8b,Qwen/Qwen2-7B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,44.2782,True,base=41.14,1.2156
None,STS13,qwen-8b,Qwen/Qwen2-7B,Base,3584,"[0, 1, 2]",spearman_x100,46.3211,False,base=46.32,
STS13,STS13,qwen-8b,Qwen/Qwen2-7B,PCA_refit,80,"[0, 1, 2]",spearman_x100,62.6853,True,base=46.32,0.0
STS-B,STS13,qwen-8b,Qwen/Qwen2-7B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,49.2822,True,base=46.32,13.4031
STS13,STS13,qwen-8b,Qwen/Qwen2-7B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,66.384,True,base=46.32,0.0
STS-B,STS13,qwen-8b,Qwen/Qwen2-7B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,52.1023,True,base=46.32,14.2817
None,STS14,qwen-8b,Qwen/Qwen2-7B,Base,3584,"[0, 1, 2]",spearman_x100,35.1543,False,base=35.15,
STS14,STS14,qwen-8b,Qwen/Qwen2-7B,PCA_refit,80,"[0, 1, 2]",spearman_x100,48.5,True,base=35.15,0.0
STS-B,STS14,qwen-8b,Qwen/Qwen2-7B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,41.114,True,base=35.15,7.386
STS14,STS14,qwen-8b,Qwen/Qwen2-7B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,57.257,True,base=35.15,0.0
STS-B,STS14,qwen-8b,Qwen/Qwen2-7B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,46.6854,True,base=35.15,10.5716
None,STS15,qwen-8b,Qwen/Qwen2-7B,Base,3584,"[0, 1, 2]",spearman_x100,49.1995,False,base=49.20,
STS15,STS15,qwen-8b,Qwen/Qwen2-7B,PCA_refit,80,"[0, 1, 2]",spearman_x100,55.672,True,base=49.20,0.0
STS-B,STS15,qwen-8b,Qwen/Qwen2-7B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,54.9183,True,base=49.20,0.7536
STS15,STS15,qwen-8b,Qwen/Qwen2-7B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,56.1662,True,base=49.20,0.0
STS-B,STS15,qwen-8b,Qwen/Qwen2-7B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,58.0751,True,base=49.20,-1.9088
None,STS16,qwen-8b,Qwen/Qwen2-7B,Base,3584,"[0, 1, 2]",spearman_x100,49.2812,False,base=49.28,
STS16,STS16,qwen-8b,Qwen/Qwen2-7B,PCA_refit,80,"[0, 1, 2]",spearman_x100,57.2584,True,base=49.28,0.0
STS-B,STS16,qwen-8b,Qwen/Qwen2-7B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,53.0948,True,base=49.28,4.1636
STS16,STS16,qwen-8b,Qwen/Qwen2-7B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,56.4311,True,base=49.28,0.0
STS-B,STS16,qwen-8b,Qwen/Qwen2-7B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,55.9966,True,base=49.28,0.4344
None,SICK-R,qwen-8b,Qwen/Qwen2-7B,Base,3584,"[0, 1, 2]",spearman_x100,44.9125,False,base=44.91,
SICK-R,SICK-R,qwen-8b,Qwen/Qwen2-7B,PCA_refit,80,"[0, 1, 2]",spearman_x100,54.2533,True,base=44.91,0.0
STS-B,SICK-R,qwen-8b,Qwen/Qwen2-7B,PCA_transfer,80,"[0, 1, 2]",spearman_x100,52.6728,True,base=44.91,1.5805
SICK-R,SICK-R,qwen-8b,Qwen/Qwen2-7B,NCWP_refit,80,"[0, 1, 2]",spearman_x100,55.1503,True,base=44.91,0.0
STS-B,SICK-R,qwen-8b,Qwen/Qwen2-7B,NCWP_transfer,80,"[0, 1, 2]",spearman_x100,53.3923,True,base=44.91,1.758
