dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,std_if_available,cond_number,offdiag_cov,avg_feature_std,anisotropy_mean,notes
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_full,40,"[42, 43, 44]",2910,7128,spearman_x100,51.0797,0.3756,1.3185,0.000507,0.157873,0.050375,variant=full trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_full,80,"[42, 43, 44]",2910,7128,spearman_x100,53.3834,0.1968,1.4559,0.000256,0.111652,0.04692,variant=full trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_full,160,"[42, 43, 44]",2910,7128,spearman_x100,55.6124,0.0791,2.12,0.000134,0.078915,0.04895,variant=full trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_cov,40,"[42, 43, 44]",2910,7128,spearman_x100,51.0538,0.345,1.3219,0.000507,0.157868,0.051039,variant=no_cov trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_cov,80,"[42, 43, 44]",2910,7128,spearman_x100,53.2946,0.3019,1.4581,0.000258,0.11165,0.047029,variant=no_cov trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_cov,160,"[42, 43, 44]",2910,7128,spearman_x100,55.5277,0.1658,2.1299,0.000132,0.078913,0.048975,variant=no_cov trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_orth,40,"[42, 43, 44]",2910,7128,spearman_x100,51.0344,0.3725,1.3238,0.000512,0.157842,0.054158,variant=no_orth trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_orth,80,"[42, 43, 44]",2910,7128,spearman_x100,53.3487,0.2394,1.4539,0.000257,0.111655,0.046301,variant=no_orth trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_orth,160,"[42, 43, 44]",2910,7128,spearman_x100,55.2319,0.1056,2.084,0.000135,0.078919,0.048567,variant=no_orth trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_both,40,"[42, 43, 44]",2910,7128,spearman_x100,51.0344,0.3725,1.3238,0.000512,0.157842,0.054158,variant=no_both trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_both,80,"[42, 43, 44]",2910,7128,spearman_x100,53.4139,0.119,1.453,0.000259,0.11165,0.047149,variant=no_both trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_both,160,"[42, 43, 44]",2910,7128,spearman_x100,55.2715,0.288,2.0867,0.000133,0.078911,0.050556,variant=no_both trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_qr,40,"[42, 43, 44]",2910,7128,spearman_x100,51.0923,0.3085,1.5012,0.000775,0.157575,0.078758,variant=no_qr trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_qr,80,"[42, 43, 44]",2910,7128,spearman_x100,53.8588,0.3539,1.618,0.000413,0.111495,0.070375,variant=no_qr trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_qr,160,"[42, 43, 44]",2910,7128,spearman_x100,54.9474,0.0864,3.7008,0.000277,0.078857,0.067077,variant=no_qr trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_hardneg,40,"[42, 43, 44]",2910,7128,spearman_x100,51.0797,0.3756,1.3185,0.000507,0.157873,0.050375,variant=no_hardneg trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_hardneg,80,"[42, 43, 44]",2910,7128,spearman_x100,53.3834,0.1968,1.4559,0.000256,0.111652,0.04692,variant=no_hardneg trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_hardneg,160,"[42, 43, 44]",2910,7128,spearman_x100,55.6124,0.0791,2.12,0.000134,0.078915,0.04895,variant=no_hardneg trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_refinement,40,"[42, 43, 44]",2910,7128,spearman_x100,51.1317,0.1511,1.4605,0.000522,0.157794,0.059822,variant=no_refinement trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_refinement,80,"[42, 43, 44]",2910,7128,spearman_x100,53.6267,0.59,1.5965,0.000267,0.111616,0.052621,variant=no_refinement trainer=ncwp_ref
stsb,train+test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_refinement,160,"[42, 43, 44]",2910,7128,spearman_x100,55.3584,0.2063,2.1073,0.000135,0.078929,0.048621,variant=no_refinement trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_full,40,"[42, 43, 44]",2000,10000,ndcg@10,44.4123,0.0207,1.3759,,,,variant=full trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_full,80,"[42, 43, 44]",2000,10000,ndcg@10,56.8089,0.1991,1.5085,,,,variant=full trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_full,160,"[42, 43, 44]",2000,10000,ndcg@10,62.745,0.092,1.695,,,,variant=full trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_cov,40,"[42, 43, 44]",2000,10000,ndcg@10,44.413,0.0211,1.3759,,,,variant=no_cov trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_cov,80,"[42, 43, 44]",2000,10000,ndcg@10,56.8077,0.2013,1.5085,,,,variant=no_cov trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_cov,160,"[42, 43, 44]",2000,10000,ndcg@10,62.7445,0.0932,1.695,,,,variant=no_cov trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_orth,40,"[42, 43, 44]",2000,10000,ndcg@10,44.4284,0.0419,1.3724,,,,variant=no_orth trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_orth,80,"[42, 43, 44]",2000,10000,ndcg@10,56.8068,0.1979,1.5085,,,,variant=no_orth trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_orth,160,"[42, 43, 44]",2000,10000,ndcg@10,62.7422,0.0871,1.695,,,,variant=no_orth trainer=ncwp_ref
