dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_mode,fit_size,eval_size,metric_name,metric_value,std_if_available,per_seed,notes,config_name,k_neighbors,cosine_tau,temperature,shrink,hard_neg_K,qr_interval,lambda_cov,lambda_orth,memory_bank_size,refine_knn_rounds
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,40,"[42, 43, 44]",corpus_sample,2000,10000,ndcg@10,44.9677,0.1828,"[45.1833, 44.9835, 44.7363]",ncwp_ref config audit; corpus_sample fitting,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,80,"[42, 43, 44]",corpus_sample,2000,10000,ndcg@10,57.2753,0.3406,"[57.4291, 57.5937, 56.8031]",ncwp_ref config audit; corpus_sample fitting,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,160,"[42, 43, 44]",corpus_sample,2000,10000,ndcg@10,62.4628,0.134,"[62.6492, 62.3396, 62.3997]",ncwp_ref config audit; corpus_sample fitting,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,320,"[42, 43, 44]",corpus_sample,2000,10000,ndcg@10,64.8649,0.0952,"[64.9895, 64.7583, 64.847]",ncwp_ref config audit; corpus_sample fitting,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,40,"[42, 43, 44]",corpus_sample,2000,10000,ndcg@10,44.9688,0.1811,"[45.1865, 44.9767, 44.7432]",ncwp_ref config audit; corpus_sample fitting,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,80,"[42, 43, 44]",corpus_sample,2000,10000,ndcg@10,57.2761,0.3427,"[57.4309, 57.5965, 56.8009]",ncwp_ref config audit; corpus_sample fitting,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,160,"[42, 43, 44]",corpus_sample,2000,10000,ndcg@10,62.4622,0.1333,"[62.6475, 62.3393, 62.3997]",ncwp_ref config audit; corpus_sample fitting,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_mean_pool,320,"[42, 43, 44]",corpus_sample,2000,10000,ndcg@10,64.8631,0.0991,"[64.9928, 64.7523, 64.8443]",ncwp_ref config audit; corpus_sample fitting,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,56,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,52.2239,0.2875,"[52.2644, 52.5541, 51.8534]",ncwp_ref config audit; corpus_sample fitting,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,112,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,59.7664,0.2933,"[59.7942, 59.3941, 60.1108]",ncwp_ref config audit; corpus_sample fitting,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,224,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,63.6368,0.0504,"[63.6064, 63.5961, 63.7078]",ncwp_ref config audit; corpus_sample fitting,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,448,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,65.5671,0.0275,"[65.5351, 65.564, 65.6021]",ncwp_ref config audit; corpus_sample fitting,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,56,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,52.2215,0.2873,"[52.2616, 52.5517, 51.8513]",ncwp_ref config audit; corpus_sample fitting,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,112,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,59.7695,0.2983,"[59.7955, 59.3919, 60.1212]",ncwp_ref config audit; corpus_sample fitting,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,224,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,63.6345,0.0505,"[63.6061, 63.592, 63.7055]",ncwp_ref config audit; corpus_sample fitting,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,448,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,65.567,0.0274,"[65.5358, 65.5627, 65.6025]",ncwp_ref config audit; corpus_sample fitting,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,32,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,43.7373,0.6119,"[42.8725, 44.1974, 44.1421]",ncwp_ref config audit; corpus_sample fitting,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,64,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,57.2143,0.1804,"[56.9617, 57.3719, 57.3092]",ncwp_ref config audit; corpus_sample fitting,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,128,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,63.5239,0.4793,"[63.7441, 62.8586, 63.9689]",ncwp_ref config audit; corpus_sample fitting,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,256,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,67.0512,0.065,"[67.1151, 66.962, 67.0765]",ncwp_ref config audit; corpus_sample fitting,code_actual,10,0.0,0.12,0.08,256,10,0.05,0.02,0,1
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,32,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,43.7382,0.6181,"[42.8646, 44.2029, 44.1471]",ncwp_ref config audit; corpus_sample fitting,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,64,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,57.2134,0.1843,"[56.9559, 57.3774, 57.3067]",ncwp_ref config audit; corpus_sample fitting,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,128,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,63.5215,0.4771,"[63.7382, 62.8597, 63.9665]",ncwp_ref config audit; corpus_sample fitting,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
quora,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,NCWP_mean_pool,256,"[42, 43, 44]",corpus_sample,1000,10000,ndcg@10,67.0486,0.0637,"[67.1146, 66.9625, 67.0687]",ncwp_ref config audit; corpus_sample fitting,camera_ready,10,0.0,0.12,0.08,256,10,0.0,0.0,0,1
